guid,tag
3924,negative
1640,positive
2923,negative
865,neutral
3347,negative
4443,positive
3987,positive
525,positive
4731,positive
4263,positive
1141,positive
1826,positive
3207,negative
2883,positive
1056,negative
4958,negative
3785,negative
1948,negative
3677,positive
4666,positive
2967,positive
1277,positive
85,neutral
928,negative
3173,positive
2641,negative
2978,positive
4298,negative
378,positive
3384,neutral
3541,positive
4923,negative
4780,positive
2938,positive
1444,negative
4583,positive
3840,positive
147,positive
4593,negative
4095,neutral
3903,positive
1374,positive
1886,negative
4440,negative
4320,positive
39,neutral
433,neutral
1043,positive
1255,positive
3863,positive
4119,neutral
385,negative
2842,negative
676,negative
1389,negative
3229,positive
2593,positive
1614,positive
3809,positive
3105,negative
845,positive
293,positive
2471,positive
1755,negative
4829,negative
2312,negative
472,positive
3255,positive
902,positive
1588,positive
277,positive
4174,positive
1063,positive
3693,neutral
3263,positive
4321,positive
2966,positive
227,positive
3740,positive
1230,positive
624,positive
4214,positive
3428,positive
4080,neutral
2926,positive
3418,positive
2931,negative
579,positive
3557,negative
4161,negative
3816,positive
4868,positive
2711,positive
3776,negative
3768,negative
771,positive
4855,negative
3573,positive
706,positive
3912,positive
3527,positive
1749,positive
3032,positive
4524,neutral
2321,positive
2070,negative
1273,positive
4778,positive
1838,negative
503,positive
3516,positive
5076,negative
789,positive
3337,negative
3118,positive
3950,negative
769,positive
5052,positive
1846,neutral
2952,positive
576,positive
4953,positive
3497,positive
3294,positive
4691,positive
1113,positive
1725,positive
988,positive
3782,negative
1847,positive
515,positive
5100,positive
3967,negative
4609,positive
1125,neutral
3209,positive
822,positive
888,positive
4509,positive
23,positive
1439,positive
473,negative
4801,positive
1852,positive
426,neutral
1773,positive
3792,negative
4066,negative
1692,neutral
3353,negative
974,positive
2109,positive
1038,positive
4256,positive
3718,positive
1934,positive
248,negative
3892,negative
4436,positive
1915,positive
4908,negative
4629,negative
4736,positive
5041,positive
3029,positive
3965,positive
4538,positive
4563,neutral
215,positive
1855,negative
619,positive
4323,positive
4525,negative
2040,negative
577,positive
3349,positive
2340,negative
4181,positive
604,positive
519,positive
3812,positive
1237,positive
1193,neutral
1668,positive
3646,positive
425,negative
4565,positive
1857,negative
3763,positive
847,neutral
4151,neutral
4561,positive
946,positive
2812,negative
2364,positive
1970,positive
1477,positive
2960,negative
93,negative
2112,positive
4809,positive
1575,negative
185,positive
3164,negative
1421,positive
1766,positive
801,positive
369,positive
2501,positive
3843,positive
2327,positive
3526,positive
2009,positive
2661,positive
1009,positive
3076,neutral
3600,positive
4949,negative
1206,positive
5064,negative
1467,positive
340,neutral
4745,negative
3808,neutral
2540,positive
3744,positive
1869,positive
4700,negative
3036,positive
4800,positive
1130,positive
606,negative
3915,negative
3942,negative
2984,neutral
1433,positive
1396,negative
217,positive
4834,negative
752,neutral
1377,positive
1075,positive
182,positive
2898,negative
523,positive
1582,positive
2039,negative
4262,negative
3330,neutral
228,positive
3340,positive
2559,positive
759,positive
681,positive
4131,positive
2562,positive
2656,positive
970,positive
457,negative
2023,positive
1282,neutral
1998,positive
4460,positive
4564,positive
72,negative
3465,positive
1790,positive
1647,positive
3017,neutral
1698,negative
131,negative
5056,positive
4343,negative
3116,positive
3700,positive
360,positive
2838,positive
1799,positive
3721,negative
4980,negative
4260,positive
4659,positive
693,neutral
4554,positive
5081,negative
201,negative
368,positive
3091,positive
2665,neutral
3929,positive
2086,positive
359,positive
3405,negative
3232,positive
870,neutral
2500,positive
2361,neutral
879,positive
3390,positive
3269,positive
3743,positive
347,negative
2687,neutral
2152,positive
3412,negative
2699,negative
4463,neutral
1902,negative
169,negative
2514,negative
4558,neutral
3275,positive
510,positive
904,positive
1685,positive
3796,positive
4664,positive
1978,negative
833,positive
437,neutral
1004,positive
1164,positive
3041,neutral
278,positive
713,positive
2916,neutral
2615,neutral
4091,neutral
3030,positive
300,positive
1279,neutral
274,positive
4928,positive
2323,positive
4269,negative
2498,positive
2547,negative
241,positive
3866,neutral
2749,positive
1623,positive
799,positive
1929,negative
3878,negative
1335,positive
4705,negative
3267,neutral
3219,positive
1531,positive
1716,positive
2048,positive
545,positive
2841,negative
1289,positive
1598,positive
1829,negative
614,neutral
571,positive
5015,positive
3920,neutral
2710,neutral
1434,positive
2589,positive
427,positive
3658,positive
2446,positive
2719,positive
1853,neutral
4906,positive
1833,positive
4370,negative
3217,positive
3059,positive
4866,negative
3561,positive
57,positive
154,positive
3193,negative
3725,positive
398,negative
416,positive
4569,negative
3477,positive
4360,negative
1543,negative
435,positive
3080,negative
2774,negative
4588,positive
1104,neutral
1763,positive
1232,positive
48,positive
3225,negative
3645,positive
787,positive
2769,positive
36,positive
4687,negative
4648,positive
2097,positive
2129,negative
4572,positive
2902,positive
1454,positive
4215,positive
4367,negative
3065,positive
3682,positive
3568,negative
411,positive
1280,positive
3858,positive
1068,neutral
1329,positive
3947,negative
5033,positive
1977,negative
898,positive
4978,positive
5083,negative
2103,positive
2464,negative
1654,positive
4336,positive
2833,neutral
4309,positive
4034,negative
4752,positive
914,positive
4299,negative
1234,positive
1746,positive
3928,positive
40,positive
1795,positive
2770,positive
994,neutral
1638,positive
3107,negative
4179,positive
2740,positive
3672,positive
167,positive
4596,negative
3458,positive
495,positive
719,negative
3632,positive
198,neutral
807,positive
4342,positive
2662,negative
1023,positive
1058,neutral
3328,positive
2859,positive
3009,positive
1313,positive
4000,positive
4935,positive
5075,negative
417,positive
4071,negative
2992,neutral
1318,positive
3761,positive
2610,positive
5063,positive
2363,negative
4409,positive
3876,positive
4753,negative
3981,negative
3301,positive
3067,positive
4374,positive
1721,positive
4451,positive
4642,positive
1997,positive
2942,positive
4969,positive
1695,negative
2051,positive
4390,negative
642,negative
1480,negative
4274,negative
2311,neutral
3939,positive
1532,negative
4782,positive
3730,positive
704,positive
103,positive
3422,positive
3628,positive
3429,negative
104,neutral
2031,positive
809,positive
1910,negative
1982,positive
1675,positive
907,positive
4163,negative
3824,negative
2748,positive
1411,positive
342,positive
3982,positive
2930,positive
2424,positive
1005,negative
5002,negative
4998,positive
1371,positive
2035,positive
2752,positive
1914,negative
2558,positive
2788,neutral
4872,positive
5085,positive
1112,positive
1488,negative
4706,positive
805,negative
1314,positive
2063,negative
1337,positive
1288,negative
4970,positive
1268,negative
1702,positive
4887,negative
4411,positive
4757,positive
3595,positive
140,neutral
937,negative
627,neutral
5021,positive
407,positive
4854,negative
973,positive
2146,positive
162,positive
1509,neutral
1693,negative
1473,positive
4011,positive
2877,positive
2822,positive
242,positive
1572,negative
1593,negative
5060,positive
1326,positive
179,negative
5020,positive
2142,positive
887,positive
906,negative
651,positive
1022,negative
2042,positive
1644,positive
3142,positive
648,neutral
4240,positive
471,positive
3339,positive
2996,positive
4813,neutral
3051,negative
3327,positive
3483,negative
4959,positive
543,negative
2844,negative
3655,negative
4039,positive
2145,positive
4479,positive
557,positive
4147,neutral
3140,negative
4924,negative
4166,negative
1738,negative
1428,positive
754,positive
892,positive
3137,negative
798,positive
1407,positive
3560,positive
1475,positive
3128,positive
1367,negative
1753,positive
1349,positive
2643,negative
2386,positive
4960,positive
70,positive
4798,neutral
1505,positive
4775,positive
4454,positive
2008,positive
379,negative
2708,neutral
608,negative
1184,positive
5087,negative
811,positive
969,positive
2322,positive
1095,positive
186,negative
4810,positive
1923,positive
4015,positive
4562,negative
1536,positive
1607,negative
3382,positive
1356,negative
2793,neutral
1071,neutral
685,negative
1114,positive
2696,neutral
2568,positive
5091,positive
2050,positive
4493,positive
2743,negative
4858,negative
705,positive
660,positive
9,positive
1498,negative
1215,positive
17,positive
4070,negative
100,positive
1072,positive
1964,neutral
3899,positive
1220,neutral
2796,neutral
4188,negative
3977,negative
4592,negative
3778,negative
4551,negative
3167,negative
414,negative
1378,negative
4302,positive
24,neutral
3957,positive
1533,negative
4833,positive
3050,negative
5096,negative
438,positive
3352,positive
190,negative
1927,negative
4204,negative
3670,negative
4193,positive
1629,positive
4902,negative
1333,negative
943,negative
330,neutral
878,positive
4631,positive
616,positive
1940,negative
2496,negative
3132,positive
3958,negative
302,negative
1550,positive
1292,positive
1014,negative
4994,negative
4582,positive
4676,positive
2881,negative
5067,negative
4989,negative
1637,positive
3256,negative
298,positive
1878,negative
496,positive
4654,neutral
1182,positive
3704,positive
1,positive
4999,positive
3992,negative
3485,positive
341,positive
2953,positive
4748,positive
2592,positive
3588,positive
4315,positive
2776,positive
196,negative
1912,neutral
4192,positive
1564,negative
4822,positive
4267,negative
232,negative
2591,positive
1461,positive
3183,negative
3211,positive
4097,positive
88,positive
2569,positive
4992,positive
2465,positive
3636,negative
1842,positive
1212,positive
1152,positive
4401,negative
1586,positive
1311,positive
2564,negative
254,negative
664,negative
5128,positive
3157,positive
7,positive
3931,positive
336,positive
1789,positive
936,neutral
659,positive
5012,positive
5051,positive
2377,positive
4462,neutral
3825,negative
3124,negative
2734,neutral
2716,positive
2763,negative
2404,negative
1736,positive
1466,positive
596,negative
3031,positive
5013,positive
3453,negative
4618,positive
4930,positive
2502,positive
2451,negative
2093,positive
2636,neutral
1711,positive
1284,neutral
4297,negative
1190,positive
1850,neutral
1123,negative
1651,positive
3832,negative
2054,neutral
3735,negative
1217,positive
4498,positive
219,neutral
1166,positive
4218,positive
2429,negative
1375,negative
1848,positive
1777,negative
3712,positive
4750,neutral
4198,negative
1266,negative
2747,negative
98,positive
3615,neutral
3364,positive
2452,neutral
1410,negative
4019,negative
456,positive
211,neutral
4884,negative
4608,positive
3266,positive
1070,positive
223,positive
4675,positive
4416,negative
2448,neutral
2000,positive
2383,positive
1460,negative
1263,negative
4766,positive
3870,positive
3144,positive
53,positive
3111,negative
1317,positive
2476,negative
214,positive
4735,positive
3197,negative
2028,positive
4897,positive
181,neutral
134,negative
5124,negative
4280,positive
1796,positive
3057,positive
4636,positive
753,neutral
1402,negative
2003,positive
1076,positive
4611,positive
4484,positive
2381,positive
4591,positive
2954,positive
1040,positive
4247,positive
4933,negative
4145,neutral
2439,neutral
1968,positive
41,negative
1577,negative
4786,positive
1189,positive
2728,neutral
2723,neutral
3234,positive
797,positive
3262,positive
2912,positive
537,positive
839,positive
4127,negative
633,negative
1650,positive
2820,positive
1944,positive
2903,neutral
3360,negative
1256,positive
1514,negative
4143,neutral
455,positive
3033,positive
2602,negative
4772,positive
2772,positive
3068,positive
2006,positive
933,positive
748,positive
4428,negative
4023,positive
4797,negative
454,negative
4680,positive
234,negative
4840,negative
2811,positive
2807,positive
4859,positive
1906,negative
1351,positive
4542,negative
3925,neutral
646,positive
3507,positive
1519,positive
4612,negative
4231,neutral
1047,positive
3290,positive
1463,positive
3546,negative
2913,negative
294,positive
4259,positive
641,negative
363,positive
2530,positive
3092,negative
726,positive
3997,negative
3088,positive
1129,negative
2456,positive
490,positive
3607,positive
4808,positive
2431,positive
1858,positive
977,positive
3393,positive
2963,positive
741,positive
4114,negative
2017,positive
4300,negative
1261,neutral
3822,positive
4398,negative
1870,neutral
4667,positive
795,neutral
4719,negative
4421,negative
1251,neutral
311,positive
3964,positive
2927,positive
3644,negative
4062,negative
2690,negative
3552,positive
5114,positive
260,negative
4585,negative
2156,negative
1391,positive
1091,positive
1035,positive
4172,negative
2583,positive
1366,positive
4266,negative
938,neutral
1370,positive
3467,positive
133,positive
2810,negative
355,positive
1643,positive
3179,negative
4122,neutral
2785,positive
3885,negative
4559,positive
3372,positive
1840,negative
4864,positive
4346,negative
1639,positive
3959,positive
4739,negative
1627,negative
357,positive
1945,negative
2801,negative
4477,positive
2024,neutral
555,positive
3151,positive
4270,positive
2068,negative
137,positive
243,neutral
1812,negative
4755,negative
3203,positive
2813,positive
919,negative
1108,positive
1180,neutral
2576,positive
2359,negative
918,positive
30,negative
249,negative
854,negative
4892,negative
77,positive
4518,positive
2489,positive
2056,neutral
4530,positive
1495,positive
2829,neutral
4853,negative
1499,positive
4203,negative
4765,neutral
4099,positive
3649,positive
3357,positive
1712,negative
2970,neutral
4053,neutral
483,neutral
4221,positive
1802,positive
4646,negative
1542,positive
1590,negative
3802,positive
3940,positive
128,positive
4702,positive
3868,positive
1204,negative
3127,positive
1548,negative
344,negative
3784,negative
4024,positive
746,positive
3639,positive
484,negative
1350,positive
97,negative
3434,negative
1822,negative
4568,positive
953,positive
896,positive
1987,positive
1641,positive
4132,negative
4261,positive
2365,positive
1992,negative
4140,negative
123,positive
226,positive
3941,negative
3316,neutral
3007,negative
2599,neutral
2907,positive
2379,neutral
1690,positive
1960,positive
2497,positive
4361,positive
4100,neutral
3710,negative
2058,neutral
1479,positive
3543,negative
1425,positive
793,positive
3331,positive
2119,negative
2986,positive
838,negative
656,negative
3055,negative
2033,positive
34,positive
358,neutral
4251,positive
180,neutral
3990,positive
1304,positive
1860,positive
4281,positive
2556,positive
2314,positive
2468,positive
1165,neutral
1621,positive
1779,negative
3014,positive
5038,positive
1447,positive
1149,positive
3630,positive
4403,negative
2428,positive
731,negative
149,positive
4475,positive
3421,positive
1926,negative
374,neutral
4579,positive
4494,negative
470,positive
1797,positive
205,negative
1331,negative
2513,positive
3793,negative
3307,negative
4223,positive
1030,positive
3972,positive
4882,positive
2821,positive
2634,positive
1996,positive
1867,positive
4187,positive
2490,positive
4154,negative
1798,positive
3696,positive
1882,positive
2969,positive
3756,positive
1223,positive
2041,positive
1500,positive
3196,positive
1563,positive
2117,positive
5058,negative
978,positive
4327,positive
3138,positive
450,negative
1415,positive
2524,negative
3769,negative
4169,positive
2596,positive
1346,positive
188,negative
3861,positive
4439,positive
442,negative
3711,positive
4515,neutral
4876,negative
1583,negative
1628,positive
371,negative
1109,positive
2768,positive
4050,negative
4289,negative
1442,positive
4792,positive
4063,negative
622,positive
4740,positive
3503,positive
2472,positive
980,positive
1661,neutral
4499,positive
1441,neutral
1090,negative
4570,negative
842,positive
486,negative
2867,positive
2356,negative
1880,positive
1565,negative
806,positive
4526,positive
439,positive
2369,neutral
245,neutral
4490,positive
1097,positive
65,positive
3097,positive
434,positive
572,positive
146,neutral
1731,positive
5072,negative
4285,positive
3177,positive
2318,neutral
2460,positive
2797,positive
3680,positive
4243,positive
882,negative
1776,negative
4329,positive
2084,positive
1142,negative
3815,positive
106,neutral
4041,positive
1765,positive
5070,negative
1322,positive
509,positive
237,positive
4438,positive
4747,positive
86,positive
5032,positive
2664,negative
4737,negative
15,positive
850,positive
1334,positive
4081,positive
3351,positive
1271,positive
4373,positive
3837,positive
4576,positive
3435,negative
3489,positive
675,positive
3752,neutral
4103,positive
4974,negative
2973,positive
2508,positive
1127,positive
3820,positive
2951,positive
2125,negative
5099,positive
3184,negative
4553,positive
16,positive
292,positive
963,positive
2932,positive
796,positive
4025,positive
1093,positive
2090,positive
239,positive
423,positive
2080,positive
2619,negative
193,positive
661,negative
1701,positive
4976,positive
958,positive
2689,negative
2601,positive
3198,positive
233,positive
4317,positive
3073,neutral
944,negative
2880,positive
3378,positive
3240,positive
2946,positive
2434,positive
3611,positive
1567,positive
4089,neutral
875,negative
2761,neutral
2159,positive
3716,positive
327,negative
4407,positive
2712,negative
4072,positive
591,neutral
4516,positive
2621,positive
602,negative
4504,positive
2941,positive
3288,positive
1633,positive
1209,positive
4671,neutral
913,positive
506,positive
4783,positive
3894,negative
482,positive
372,positive
3259,positive
3338,positive
689,negative
3738,positive
4624,negative
4550,positive
3818,positive
151,positive
4824,negative
4581,positive
985,neutral
466,positive
2032,positive
4967,positive
3058,negative
2337,positive
529,negative
678,neutral
1815,positive
1988,positive
4685,negative
3166,negative
3625,negative
4368,negative
723,negative
3085,positive
817,positive
5095,positive
1257,negative
4175,positive
1241,positive
1286,negative
2870,positive
1849,positive
3597,positive
950,positive
3533,neutral
3010,negative
244,positive
187,positive
394,positive
5001,negative
82,positive
3,positive
1734,negative
4396,negative
2588,positive
4295,negative
2674,negative
4419,negative
5109,positive
4282,negative
4488,negative
348,negative
2370,neutral
1484,positive
827,positive
3345,positive
4459,positive
2331,positive
3264,positive
855,positive
4310,positive
4195,negative
59,positive
1793,positive
2478,negative
2590,positive
1379,negative
3873,positive
4458,negative
1788,positive
2612,positive
2015,negative
3813,positive
1817,positive
382,negative
2427,positive
1332,negative
957,negative
4126,positive
4880,negative
4890,positive
210,positive
3633,positive
508,positive
1904,neutral
3169,negative
4492,positive
4141,neutral
761,positive
2007,neutral
3408,positive
4482,positive
4819,negative
1373,negative
694,positive
2819,positive
1128,positive
1186,positive
2132,positive
3431,positive
5068,negative
4789,positive
267,positive
2839,negative
4101,positive
377,negative
962,neutral
4726,positive
3880,negative
2110,neutral
3973,positive
428,neutral
4865,positive
3365,negative
1735,negative
1267,positive
4817,positive
2956,positive
4639,negative
4571,negative
4759,positive
163,positive
1662,neutral
721,positive
4961,positive
1395,positive
3448,negative
4977,negative
1026,neutral
283,positive
2349,positive
4707,neutral
3146,positive
1359,negative
540,positive
252,positive
2874,positive
1930,positive
4802,negative
3287,positive
589,negative
2817,negative
1775,negative
111,positive
1824,positive
3689,neutral
1747,positive
2567,negative
2745,neutral
1517,negative
1242,neutral
4232,positive
478,positive
2983,negative
4725,positive
1031,positive
924,positive
4168,negative
4805,positive
3406,neutral
2577,negative
3719,negative
3048,negative
5071,neutral
3591,neutral
4594,positive
4823,negative
4655,positive
3375,neutral
4619,positive
859,positive
1177,positive
834,positive
836,negative
513,positive
440,positive
4144,neutral
2741,negative
3616,negative
2919,positive
2004,positive
2092,positive
2455,negative
2470,positive
1761,negative
3484,positive
1403,negative
4521,positive
2160,positive
2778,positive
